dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas,comuna,dirección,LATITUD,LONGITUD
01,1.0,6.0,01,ANTIOQUIA,MEDELLIN,I.E. JOSE ANTONIO GALAN,6528,5548,12076,4,03COMUNA 3 MANRIQUE,KR 44A NO 93-87,6.285049681861491,-75.55214255249525
01,1.0,6.0,02,ANTIOQUIA,MEDELLIN,I.E. HERNAN TORO AGUDELO,8078,6575,14653,4,03COMUNA 3 MANRIQUE,Cra 45 # 72-80,6.26817765365757,-75.55486820292754
01,1.0,6.0,03,ANTIOQUIA,MEDELLIN,IE RODRIGO LARA BONILLA - SEDE LA SUSANA,4033,3944,7977,3,03COMUNA 3 MANRIQUE,KR 41B # 66E-50,6.26221079885131,-75.55235362039069
01,1.0,6.0,04,ANTIOQUIA,MEDELLIN,IE SAN JUAN BAUTISTA DE LA SALLE,2096,1787,3883,1,03COMUNA 3 MANRIQUE,CLL 93 No 40-42,6.284413782123305,-75.54930120912442
01,1.0,7.0,01,ANTIOQUIA,MEDELLIN,COL AGUSTINIANO DE SAN NICOLAS,7345,6273,13618,4,04COMUNA 4 ARANJUEZ,KR 48 # 93-13,6.284762354282652,-75.55553632675696
01,1.0,7.0,02,ANTIOQUIA,MEDELLIN,I.E. MONSEÑOR FRANCISCO CRISTOBAL TORO,6271,5081,11352,3,04COMUNA 4 ARANJUEZ,Cra 50D # 90-49,6.282328460012106,-75.5603767127427
01,1.0,7.0,03,ANTIOQUIA,MEDELLIN,I.E. GILBERTO ALZATE AVENDAÑO,6489,5691,12180,4,04COMUNA 4 ARANJUEZ,CL 92 # 51A-100,6.283670028457579,-75.56280830297665
01,1.0,7.0,04,ANTIOQUIA,MEDELLIN,I.E. CAMPO VALDES,6156,5352,11508,3,04COMUNA 4 ARANJUEZ,CL 83 # 47-33,6.275659829850496,-75.55588542179053
01,1.0,7.0,05,ANTIOQUIA,MEDELLIN,I.E.SAN JUAN BOSCO,1707,1146,2853,1,04COMUNA 4 ARANJUEZ,CALLE 82 # 50C-10,6.275876296432525,-75.56110619683054
01,1.0,7.0,06,ANTIOQUIA,MEDELLIN,I.E. JOSE EUSEBIO CARO,1362,1267,2629,1,04COMUNA 4 ARANJUEZ,CR 50 A 93 77,6.285556325037282,-75.55858516237099
01,1.0,7.0,07,ANTIOQUIA,MEDELLIN,IE LORENZA VILLEGAS DE SANTOS,1632,1134,2766,1,04COMUNA 4 ARANJUEZ,CRA 51 No 87 - 40,6.28036726498752,-75.560930831415
